ax: -0.108475 | ay: -0.581589 | az: -0.108429
ax: -0.128143 | ay: -0.149857 | az: -0.100571
ax: 0.000579834 | ay: 0.0948181 | az: -0.101486
ax: -0.0327301 | ay: -0.0778046 | az: -0.0147705
ax: -0.0579224 | ay: -0.0402679 | az: 0.0254822
ax: 0.0134277 | ay: 0.0251007 | az: -0.00418091
ax: 0.0510101 | ay: 0.0870514 | az: -0.109955
ax: 0.0346069 | ay: 0.0653992 | az: -0.0554504
ax: 0.0197296 | ay: -0.00271606 | az: 0.0479889
ax: -0.0150452 | ay: -0.0276184 | az: 0.0393066
ax: -0.00614929 | ay: -0.100174 | az: -0.012619
ax: -0.0106049 | ay: -0.0107422 | az: -0.0535736
ax: -0.00244141 | ay: 0.0087738 | az: 0.0133362
ax: -0.0186157 | ay: 0.0010376 | az: -0.00170898
ax: -0.0235443 | ay: -0.0386963 | az: -0.000808716
ax: -0.0348358 | ay: -0.0150757 | az: -0.00682068
ax: -0.0541382 | ay: 0.00743103 | az: -0.0293427
ax: -0.0513763 | ay: 0.0207977 | az: -0.00286865
ax: -0.0496368 | ay: 0.0363464 | az: 0.010025
ax: -0.141296 | ay: 0.0840149 | az: 0.103409
ax: -0.159424 | ay: 0.0435638 | az: 0.0683594
ax: -0.214386 | ay: 0.0493469 | az: 0.143539
ax: -0.222549 | ay: 0.100098 | az: 0.161469
ax: -0.346375 | ay: 0.267853 | az: -0.0326843
ax: -0.713928 | ay: 0.275909 | az: -0.0992126
ax: -1.08348 | ay: 0.0742798 | az: 0.0447235
ax: -1.09921 | ay: 1.11845 | az: 0.395279
ax: -1.11334 | ay: 1.4615 | az: 0.478638
ax: -0.977341 | ay: 0.827667 | az: 0.159775
ax: -0.821182 | ay: 1.02007 | az: -0.405304
ax: -0.293335 | ay: 0.744049 | az: -0.0784454
ax: 0.634583 | ay: 0.482315 | az: -0.058197
ax: 0.112411 | ay: -0.140198 | az: -0.182373
ax: 0.0868683 | ay: -0.172943 | az: 0.189743
ax: 0.521179 | ay: 0.40802 | az: 0.223206
ax: 0.608246 | ay: 0.88028 | az: 0.274673
ax: 0.670944 | ay: 0.82814 | az: 0.289383
ax: 0.627441 | ay: 0.774887 | az: 0.260818
ax: 0.582581 | ay: 0.51622 | az: 0.241592
ax: 0.515594 | ay: 0.285583 | az: 0.159348
ax: 0.477097 | ay: 0.183792 | az: 0.107452
ax: 0.41626 | ay: 0.219681 | az: 0.093811
ax: 0.232834 | ay: 0.189453 | az: 0.107681
ax: -0.0449066 | ay: -0.0708771 | az: -0.0926514
ax: -0.258911 | ay: -0.309494 | az: -0.0689087
time: 7
[20210722075744.959]
> sum ax: -4.12415 | sum ay: 8.08966 | sum az: 1.42615
>> avg ax: -0.0824829 | avg ay: 0.161793 | avg az: 0.0285229
>>> vx: -0.404166 | vy: 0.792787 | vz: 0.139762
>>> sx: -0.370132 | sy: 0.100106 | sz: -0.0238939
>>> a: 0.183832
>>> v: 0.900774
>>> s: 0.384174

ax: -0.771774 | ay: -0.41333 | az: -0.252365
ax: -1.05568 | ay: -1.00981 | az: -0.628448
ax: -1.09096 | ay: -1.80304 | az: -0.858658
ax: -1.12259 | ay: -1.75185 | az: -1.01854
ax: -0.61676 | ay: -1.93494 | az: -1.1981
ax: -0.438644 | ay: -2.52841 | az: -0.875229
ax: -0.638672 | ay: -0.98703 | az: -0.902176
ax: 0.208557 | ay: -0.212204 | az: -0.512268
ax: -0.346817 | ay: 0.768173 | az: 1.22179
ax: -0.438293 | ay: -0.432938 | az: 0.299927
ax: -0.632858 | ay: -0.479538 | az: -0.0173645
ax: -0.131683 | ay: -0.344452 | az: -0.557999
ax: -0.142166 | ay: -0.266342 | az: -0.420029
ax: -0.0444031 | ay: -0.501755 | az: -0.0918274
ax: -0.0283661 | ay: -0.353317 | az: -0.135803
ax: -0.0565796 | ay: -0.06604 | az: -0.0740204
ax: -0.0267487 | ay: -0.0441895 | az: -0.0565491
ax: -0.0896912 | ay: -0.0510712 | az: -0.0440521
ax: -0.042572 | ay: -0.101746 | az: 0.00205994
ax: -0.00967407 | ay: 0.0466461 | az: -0.133865
ax: 0.0366364 | ay: 0.111084 | az: -0.12706
ax: 0.0343628 | ay: -0.00219727 | az: 0.0340424
ax: 0.0101929 | ay: -0.0251617 | az: 0.0514679
ax: 0.026123 | ay: 0.0202789 | az: 0.0137634
ax: 0.0195618 | ay: 0.000839233 | az: -0.0314331
ax: 0.00700378 | ay: -0.0450287 | az: -0.0441895
ax: 0.0138092 | ay: -0.0604553 | az: -0.0301514
ax: -0.00102234 | ay: -0.0340576 | az: -0.008255
ax: -0.0239868 | ay: -0.0369873 | az: -0.00590515
ax: -0.0214386 | ay: -0.0283813 | az: -0.00292969
ax: -0.0343781 | ay: -0.0177612 | az: -0.0131531
ax: -0.0416718 | ay: -0.00628662 | az: 0.0116577
ax: -0.0329742 | ay: 0.0370331 | az: 0.0639496
ax: -0.0973969 | ay: 0.0516815 | az: 0.0726166
ax: -0.190262 | ay: 0.0534668 | az: 0.110077
