steps: 0
ax: 0 | ay: 0 | az: -1
ax: -0.23317 | ay: -0.573685 | az: -0.297882
ax: -0.117035 | ay: -0.297028 | az: -0.0255432
ax: -0.0423279 | ay: -0.216888 | az: 0.0265045
ax: 0.00604248 | ay: -0.0926971 | az: 0.0604553
ax: -0.118088 | ay: -0.106186 | az: 0.0711517
ax: -0.0417023 | ay: -0.0777435 | az: 0.000701904
ax: 0.0135193 | ay: -0.0655365 | az: -0.113358
ax: 0.0167389 | ay: -0.0591278 | az: -0.162903
ax: 0.00311279 | ay: -0.021286 | az: -0.0443726
ax: -0.0137329 | ay: -0.0413208 | az: 0.0691986
ax: -0.0516968 | ay: -0.0612183 | az: 0.109604
ax: -0.00828552 | ay: -0.0891266 | az: -0.0090332
ax: 0.00636292 | ay: -0.0406647 | az: -0.070282
ax: -0.00408936 | ay: -0.0166321 | az: -0.0407867
ax: 0.0226135 | ay: -0.0463104 | az: 0.0101318
ax: -0.000228882 | ay: -0.039444 | az: 0.0713654
ax: -0.0608673 | ay: -0.0256348 | az: 0.0657959
time: 8
[20210812051045.494]
> sum ax: -9.59966 | sum ay: -9.54816 | sum az: -1.64775
>> avg ax: -0.191993 | avg ay: -0.190963 | avg az: -0.032955
>>> vx: -0.940766 | vy: -0.935719 | vz: -0.16148
>>> sx: -0.555279 | sy: -0.163281 | sz: -0.15211
>>> a: 0.27279
>>> v: 1.33667
>>> s: 0.598442

ax: -0.0652008 | ay: 0.0180817 | az: 0.0292206
ax: -0.0500946 | ay: -0.079422 | az: 0.0452881
ax: -0.0976562 | ay: -0.131729 | az: 0.0428162
ax: -0.14917 | ay: -0.0374756 | az: 0.0614319
ax: -0.239471 | ay: 0.123795 | az: 0.108353
ax: -0.213882 | ay: 0.114014 | az: 0.0316467
ax: -0.21431 | ay: 0.123352 | az: -0.0531616
ax: -0.276352 | ay: 0.107834 | az: -0.0220642
ax: -0.318817 | ay: 0.0746307 | az: -0.070694
ax: -0.538864 | ay: 0.140045 | az: -0.136154
ax: -0.802521 | ay: 0.167725 | az: -0.154572
ax: -1.07561 | ay: 0.51181 | az: -0.242111
ax: -1.02425 | ay: 1.49779 | az: -0.288406
ax: -0.960495 | ay: 0.817383 | az: 0.295486
ax: -0.575455 | ay: 0.468292 | az: -0.397263
ax: -0.446716 | ay: 0.535095 | az: -0.568039
ax: 0.423553 | ay: 0.298218 | az: -0.535431
ax: 0.120804 | ay: 0.0459747 | az: -0.162155
ax: 0.276642 | ay: 0.225128 | az: -0.0775146
ax: 0.559235 | ay: 0.69696 | az: -0.0416565
ax: 0.619659 | ay: 0.731949 | az: 0.0526886
ax: 0.619598 | ay: 0.569138 | az: -0.0378876
ax: 0.591415 | ay: 0.426117 | az: 0.00532532
ax: 0.545105 | ay: 0.286942 | az: 0.0240936
ax: 0.481384 | ay: 0.163589 | az: -0.0225677
